Timestamp, Memory_Usage(MB), Memory_Usage(%), CPU_Usage(%), Network_In, Network_Out
2025-01-13 11:34:57, 2.565, 33.07, 22.70, 1.39MB, 684kB
2025-01-13 11:35:13, 2.647, 34.12, 7.25, 7.54MB, 926kB
2025-01-13 11:35:29, 2.648, 34.16, 15.00, 36.6MB, 1.45MB
2025-01-13 11:35:45, 2.657, 34.26, 7.11, 39.9MB, 1.64MB
2025-01-13 11:36:01, 2.687, 34.66, 20.55, 101MB, 2.59MB
2025-01-13 11:36:17, 2.69, 34.69, 16.53, 120MB, 3.1MB
2025-01-13 11:36:33, 2.695, 34.77, 20.37, 132MB, 3.4MB
2025-01-13 11:36:49, 2.701, 34.83, 21.23, 172MB, 4.17MB
2025-01-13 11:37:05, 2.705, 34.88, 6.26, 174MB, 4.35MB
2025-01-13 11:37:21, 2.705, 34.88, 40.42, 189MB, 4.69MB
2025-01-13 11:37:37, 2.829, 36.68, 101.69, 193MB, 5.08MB
2025-01-13 11:37:53, 4.068, 52.48, 101.03, 194MB, 5.66MB
2025-01-13 11:38:09, 4.042, 52.11, 78.38, 194MB, 6.32MB
2025-01-13 11:38:25, 2.565, 0.00, 0.00, 0B, 0B
