Timestamp, Memory_Usage(MB), Memory_Usage(%), CPU_Usage(%), Network_In, Network_Out
2025-01-13 11:34:57, 84.27, 1.06, 0.57, 112kB, 823kB
2025-01-13 11:35:13, 84.46, 1.06, 0.55, 192kB, 1.15MB
2025-01-13 11:35:29, 84.56, 1.06, 0.89, 246kB, 3.12MB
2025-01-13 11:35:45, 85.54, 1.08, 0.55, 310kB, 3.15MB
2025-01-13 11:36:01, 85.67, 1.08, 0.58, 538kB, 3.17MB
2025-01-13 11:36:17, 85.77, 1.08, 0.66, 668kB, 3.31MB
2025-01-13 11:36:33, 85.81, 1.08, 0.68, 769kB, 3.38MB
2025-01-13 11:36:49, 85.88, 1.08, 0.76, 838kB, 3.39MB
2025-01-13 11:37:05, 85.88, 1.08, 0.65, 877kB, 3.43MB
2025-01-13 11:37:21, 85.91, 1.09, 0.54, 1.17MB, 3.45MB
2025-01-13 11:37:37, 88.09, 1.11, 1.22, 1.39MB, 4.37MB
2025-01-13 11:37:53, 89.3, 1.13, 0.58, 1.98MB, 4.39MB
2025-01-13 11:38:09, 92.07, 1.16, 0.63, 2.24MB, 4.4MB
2025-01-13 11:38:25, 0, 0.00, 0.00, 0B, 0B
